index,book,chapter,bookAndChapter,yearly
1,創,1,創1,1
2,創,2,創2,1
3,創,3,創3,1
4,創,4,創4,2
5,創,5,創5,2
6,創,6,創6,2
7,創,7,創7,3
8,創,8,創8,3
9,創,9,創9,3
10,創,10,創10,4
11,創,11,創11,4
12,創,12,創12,4
13,創,13,創13,5
14,創,14,創14,5
15,創,15,創15,5
16,創,16,創16,6
17,創,17,創17,6
18,創,18,創18,6
19,創,19,創19,7
20,創,20,創20,7
21,創,21,創21,7
22,創,22,創22,8
23,創,23,創23,8
24,創,24,創24,8
25,創,25,創25,9
26,創,26,創26,9
27,創,27,創27,9
28,創,28,創28,10
29,創,29,創29,10
30,創,30,創30,10
31,創,31,創31,11
32,創,32,創32,11
33,創,33,創33,11
34,創,34,創34,12
35,創,35,創35,12
36,創,36,創36,12
37,創,37,創37,13
38,創,38,創38,13
39,創,39,創39,13
40,創,40,創40,14
41,創,41,創41,14
42,創,42,創42,14
43,創,43,創43,15
44,創,44,創44,15
45,創,45,創45,15
46,創,46,創46,16
47,創,47,創47,16
48,創,48,創48,16
49,創,49,創49,17
50,創,50,創50,17
51,出,1,出1,17
52,出,2,出2,18
53,出,3,出3,18
54,出,4,出4,18
55,出,5,出5,19
56,出,6,出6,19
57,出,7,出7,19
58,出,8,出8,20
59,出,9,出9,20
60,出,10,出10,20
61,出,11,出11,21
62,出,12,出12,21
63,出,13,出13,21
64,出,14,出14,22
65,出,15,出15,22
66,出,16,出16,22
67,出,17,出17,23
68,出,18,出18,23
69,出,19,出19,23
70,出,20,出20,24
71,出,21,出21,24
72,出,22,出22,24
73,出,23,出23,25
74,出,24,出24,25
75,出,25,出25,25
76,出,26,出26,26
77,出,27,出27,26
78,出,28,出28,26
79,出,29,出29,27
80,出,30,出30,27
81,出,31,出31,27
82,出,32,出32,28
83,出,33,出33,28
84,出,34,出34,28
85,出,35,出35,29
86,出,36,出36,29
87,出,37,出37,29
88,出,38,出38,30
89,出,39,出39,30
90,出,40,出40,30
91,利,1,利1,31
92,利,2,利2,31
93,利,3,利3,31
94,利,4,利4,32
95,利,5,利5,32
96,利,6,利6,32
97,利,7,利7,33
98,利,8,利8,33
99,利,9,利9,33
100,利,10,利10,34
101,利,11,利11,34
102,利,12,利12,34
103,利,13,利13,35
104,利,14,利14,35
105,利,15,利15,35
106,利,16,利16,36
107,利,17,利17,36
108,利,18,利18,36
109,利,19,利19,37
110,利,20,利20,37
111,利,21,利21,37
112,利,22,利22,38
113,利,23,利23,38
114,利,24,利24,38
115,利,25,利25,39
116,利,26,利26,39
117,利,27,利27,39
118,民,1,民1,40
119,民,2,民2,40
120,民,3,民3,40
121,民,4,民4,41
122,民,5,民5,41
123,民,6,民6,41
124,民,7,民7,42
125,民,8,民8,42
126,民,9,民9,42
127,民,10,民10,43
128,民,11,民11,43
129,民,12,民12,43
130,民,13,民13,44
131,民,14,民14,44
132,民,15,民15,44
133,民,16,民16,45
134,民,17,民17,45
135,民,18,民18,45
136,民,19,民19,46
137,民,20,民20,46
138,民,21,民21,46
139,民,22,民22,47
140,民,23,民23,47
141,民,24,民24,47
142,民,25,民25,48
143,民,26,民26,48
144,民,27,民27,48
145,民,28,民28,49
146,民,29,民29,49
147,民,30,民30,49
148,民,31,民31,50
149,民,32,民32,50
150,民,33,民33,50
151,民,34,民34,51
152,民,35,民35,51
153,民,36,民36,51
154,申,1,申1,52
155,申,2,申2,52
156,申,3,申3,52
157,申,4,申4,53
158,申,5,申5,53
159,申,6,申6,53
160,申,7,申7,54
161,申,8,申8,54
162,申,9,申9,54
163,申,10,申10,55
164,申,11,申11,55
165,申,12,申12,55
166,申,13,申13,56
167,申,14,申14,56
168,申,15,申15,56
169,申,16,申16,57
170,申,17,申17,57
171,申,18,申18,57
172,申,19,申19,58
173,申,20,申20,58
174,申,21,申21,58
175,申,22,申22,59
176,申,23,申23,59
177,申,24,申24,59
178,申,25,申25,60
179,申,26,申26,60
180,申,27,申27,60
181,申,28,申28,61
182,申,29,申29,61
183,申,30,申30,61
184,申,31,申31,62
185,申,32,申32,62
186,申,33,申33,62
187,申,34,申34,63
188,書,1,書1,63
189,書,2,書2,63
190,書,3,書3,64
191,書,4,書4,64
192,書,5,書5,64
193,書,6,書6,65
194,書,7,書7,65
195,書,8,書8,65
196,書,9,書9,66
197,書,10,書10,66
198,書,11,書11,66
199,書,12,書12,67
200,書,13,書13,67
201,書,14,書14,67
202,書,15,書15,68
203,書,16,書16,68
204,書,17,書17,68
205,書,18,書18,69
206,書,19,書19,69
207,書,20,書20,69
208,書,21,書21,70
209,書,22,書22,70
210,書,23,書23,70
211,書,24,書24,71
212,士,1,士1,71
213,士,2,士2,71
214,士,3,士3,72
215,士,4,士4,72
216,士,5,士5,72
217,士,6,士6,73
218,士,7,士7,73
219,士,8,士8,73
220,士,9,士9,74
221,士,10,士10,74
222,士,11,士11,74
223,士,12,士12,75
224,士,13,士13,75
225,士,14,士14,75
226,士,15,士15,76
227,士,16,士16,76
228,士,17,士17,76
229,士,18,士18,77
230,士,19,士19,77
231,士,20,士20,77
232,士,21,士21,78
233,得,1,得1,78
234,得,2,得2,78
235,得,3,得3,79
236,得,4,得4,79
237,撒上,1,撒上1,79
238,撒上,2,撒上2,80
239,撒上,3,撒上3,80
240,撒上,4,撒上4,80
241,撒上,5,撒上5,81
242,撒上,6,撒上6,81
243,撒上,7,撒上7,81
244,撒上,8,撒上8,82
245,撒上,9,撒上9,82
246,撒上,10,撒上10,82
247,撒上,11,撒上11,83
248,撒上,12,撒上12,83
249,撒上,13,撒上13,83
250,撒上,14,撒上14,84
251,撒上,15,撒上15,84
252,撒上,16,撒上16,84
253,撒上,17,撒上17,85
254,撒上,18,撒上18,85
255,撒上,19,撒上19,85
256,撒上,20,撒上20,86
257,撒上,21,撒上21,86
258,撒上,22,撒上22,86
259,撒上,23,撒上23,87
260,撒上,24,撒上24,87
261,撒上,25,撒上25,87
262,撒上,26,撒上26,88
263,撒上,27,撒上27,88
264,撒上,28,撒上28,88
265,撒上,29,撒上29,89
266,撒上,30,撒上30,89
267,撒上,31,撒上31,89
268,撒下,1,撒下1,90
269,撒下,2,撒下2,90
270,撒下,3,撒下3,90
271,撒下,4,撒下4,91
272,撒下,5,撒下5,91
273,撒下,6,撒下6,91
274,撒下,7,撒下7,92
275,撒下,8,撒下8,92
276,撒下,9,撒下9,92
277,撒下,10,撒下10,93
278,撒下,11,撒下11,93
279,撒下,12,撒下12,93
280,撒下,13,撒下13,94
281,撒下,14,撒下14,94
282,撒下,15,撒下15,94
283,撒下,16,撒下16,95
284,撒下,17,撒下17,95
285,撒下,18,撒下18,95
286,撒下,19,撒下19,96
287,撒下,20,撒下20,96
288,撒下,21,撒下21,96
289,撒下,22,撒下22,97
290,撒下,23,撒下23,97
291,撒下,24,撒下24,97
292,王上,1,王上1,98
293,王上,2,王上2,98
294,王上,3,王上3,98
295,王上,4,王上4,99
296,王上,5,王上5,99
297,王上,6,王上6,99
298,王上,7,王上7,100
299,王上,8,王上8,100
300,王上,9,王上9,100
301,王上,10,王上10,101
302,王上,11,王上11,101
303,王上,12,王上12,101
304,王上,13,王上13,102
305,王上,14,王上14,102
306,王上,15,王上15,102
307,王上,16,王上16,103
308,王上,17,王上17,103
309,王上,18,王上18,103
310,王上,19,王上19,104
311,王上,20,王上20,104
312,王上,21,王上21,104
313,王上,22,王上22,105
314,王下,1,王下1,105
315,王下,2,王下2,105
316,王下,3,王下3,106
317,王下,4,王下4,106
318,王下,5,王下5,106
319,王下,6,王下6,107
320,王下,7,王下7,107
321,王下,8,王下8,107
322,王下,9,王下9,108
323,王下,10,王下10,108
324,王下,11,王下11,108
325,王下,12,王下12,109
326,王下,13,王下13,109
327,王下,14,王下14,109
328,王下,15,王下15,110
329,王下,16,王下16,110
330,王下,17,王下17,110
331,王下,18,王下18,111
332,王下,19,王下19,111
333,王下,20,王下20,111
334,王下,21,王下21,112
335,王下,22,王下22,112
336,王下,23,王下23,112
337,王下,24,王下24,113
338,王下,25,王下25,113
339,代上,1,代上1,113
340,代上,2,代上2,114
341,代上,3,代上3,114
342,代上,4,代上4,114
343,代上,5,代上5,115
344,代上,6,代上6,115
345,代上,7,代上7,115
346,代上,8,代上8,116
347,代上,9,代上9,116
348,代上,10,代上10,116
349,代上,11,代上11,117
350,代上,12,代上12,117
351,代上,13,代上13,117
352,代上,14,代上14,118
353,代上,15,代上15,118
354,代上,16,代上16,118
355,代上,17,代上17,119
356,代上,18,代上18,119
357,代上,19,代上19,119
358,代上,20,代上20,120
359,代上,21,代上21,120
360,代上,22,代上22,120
361,代上,23,代上23,121
362,代上,24,代上24,121
363,代上,25,代上25,121
364,代上,26,代上26,122
365,代上,27,代上27,122
366,代上,28,代上28,122
367,代上,29,代上29,123
368,代下,1,代下1,123
369,代下,2,代下2,123
370,代下,3,代下3,124
371,代下,4,代下4,124
372,代下,5,代下5,124
373,代下,6,代下6,125
374,代下,7,代下7,125
375,代下,8,代下8,125
376,代下,9,代下9,126
377,代下,10,代下10,126
378,代下,11,代下11,126
379,代下,12,代下12,127
380,代下,13,代下13,127
381,代下,14,代下14,127
382,代下,15,代下15,128
383,代下,16,代下16,128
384,代下,17,代下17,128
385,代下,18,代下18,129
386,代下,19,代下19,129
387,代下,20,代下20,129
388,代下,21,代下21,130
389,代下,22,代下22,130
390,代下,23,代下23,130
391,代下,24,代下24,131
392,代下,25,代下25,131
393,代下,26,代下26,131
394,代下,27,代下27,132
395,代下,28,代下28,132
396,代下,29,代下29,132
397,代下,30,代下30,133
398,代下,31,代下31,133
399,代下,32,代下32,133
400,代下,33,代下33,134
401,代下,34,代下34,134
402,代下,35,代下35,134
403,代下,36,代下36,135
404,拉,1,拉1,135
405,拉,2,拉2,135
406,拉,3,拉3,136
407,拉,4,拉4,136
408,拉,5,拉5,136
409,拉,6,拉6,137
410,拉,7,拉7,137
411,拉,8,拉8,137
412,拉,9,拉9,138
413,拉,10,拉10,138
414,尼,1,尼1,138
415,尼,2,尼2,139
416,尼,3,尼3,139
417,尼,4,尼4,139
418,尼,5,尼5,140
419,尼,6,尼6,140
420,尼,7,尼7,140
421,尼,8,尼8,141
422,尼,9,尼9,141
423,尼,10,尼10,141
424,尼,11,尼11,142
425,尼,12,尼12,142
426,尼,13,尼13,142
427,斯,1,斯1,143
428,斯,2,斯2,143
429,斯,3,斯3,143
430,斯,4,斯4,144
431,斯,5,斯5,144
432,斯,6,斯6,144
433,斯,7,斯7,145
434,斯,8,斯8,145
435,斯,9,斯9,145
436,斯,10,斯10,146
437,伯,1,伯1,146
438,伯,2,伯2,146
439,伯,3,伯3,147
440,伯,4,伯4,147
441,伯,5,伯5,147
442,伯,6,伯6,148
443,伯,7,伯7,148
444,伯,8,伯8,148
445,伯,9,伯9,149
446,伯,10,伯10,149
447,伯,11,伯11,149
448,伯,12,伯12,150
449,伯,13,伯13,150
450,伯,14,伯14,150
451,伯,15,伯15,151
452,伯,16,伯16,151
453,伯,17,伯17,151
454,伯,18,伯18,152
455,伯,19,伯19,152
456,伯,20,伯20,152
457,伯,21,伯21,153
458,伯,22,伯22,153
459,伯,23,伯23,153
460,伯,24,伯24,154
461,伯,25,伯25,154
462,伯,26,伯26,154
463,伯,27,伯27,155
464,伯,28,伯28,155
465,伯,29,伯29,155
466,伯,30,伯30,156
467,伯,31,伯31,156
468,伯,32,伯32,156
469,伯,33,伯33,157
470,伯,34,伯34,157
471,伯,35,伯35,157
472,伯,36,伯36,158
473,伯,37,伯37,158
474,伯,38,伯38,158
475,伯,39,伯39,159
476,伯,40,伯40,159
477,伯,41,伯41,159
478,伯,42,伯42,160
479,詩,1,詩1,160
480,詩,2,詩2,160
481,詩,3,詩3,161
482,詩,4,詩4,161
483,詩,5,詩5,161
484,詩,6,詩6,162
485,詩,7,詩7,162
486,詩,8,詩8,162
487,詩,9,詩9,163
488,詩,10,詩10,163
489,詩,11,詩11,163
490,詩,12,詩12,164
491,詩,13,詩13,164
492,詩,14,詩14,164
493,詩,15,詩15,165
494,詩,16,詩16,165
495,詩,17,詩17,165
496,詩,18,詩18,166
497,詩,19,詩19,166
498,詩,20,詩20,166
499,詩,21,詩21,167
500,詩,22,詩22,167
501,詩,23,詩23,167
502,詩,24,詩24,168
503,詩,25,詩25,168
504,詩,26,詩26,168
505,詩,27,詩27,169
506,詩,28,詩28,169
507,詩,29,詩29,169
508,詩,30,詩30,170
509,詩,31,詩31,170
510,詩,32,詩32,170
511,詩,33,詩33,171
512,詩,34,詩34,171
513,詩,35,詩35,171
514,詩,36,詩36,172
515,詩,37,詩37,172
516,詩,38,詩38,172
517,詩,39,詩39,173
518,詩,40,詩40,173
519,詩,41,詩41,173
520,詩,42,詩42,174
521,詩,43,詩43,174
522,詩,44,詩44,174
523,詩,45,詩45,175
524,詩,46,詩46,175
525,詩,47,詩47,175
526,詩,48,詩48,176
527,詩,49,詩49,176
528,詩,50,詩50,176
529,詩,51,詩51,177
530,詩,52,詩52,177
531,詩,53,詩53,177
532,詩,54,詩54,178
533,詩,55,詩55,178
534,詩,56,詩56,178
535,詩,57,詩57,179
536,詩,58,詩58,179
537,詩,59,詩59,179
538,詩,60,詩60,180
539,詩,61,詩61,180
540,詩,62,詩62,180
541,詩,63,詩63,181
542,詩,64,詩64,181
543,詩,65,詩65,181
544,詩,66,詩66,182
545,詩,67,詩67,182
546,詩,68,詩68,182
547,詩,69,詩69,183
548,詩,70,詩70,183
549,詩,71,詩71,183
550,詩,72,詩72,184
551,詩,73,詩73,184
552,詩,74,詩74,184
553,詩,75,詩75,185
554,詩,76,詩76,185
555,詩,77,詩77,185
556,詩,78,詩78,186
557,詩,79,詩79,186
558,詩,80,詩80,186
559,詩,81,詩81,187
560,詩,82,詩82,187
561,詩,83,詩83,187
562,詩,84,詩84,188
563,詩,85,詩85,188
564,詩,86,詩86,188
565,詩,87,詩87,189
566,詩,88,詩88,189
567,詩,89,詩89,189
568,詩,90,詩90,190
569,詩,91,詩91,190
570,詩,92,詩92,190
571,詩,93,詩93,191
572,詩,94,詩94,191
573,詩,95,詩95,191
574,詩,96,詩96,192
575,詩,97,詩97,192
576,詩,98,詩98,192
577,詩,99,詩99,193
578,詩,100,詩100,193
579,詩,101,詩101,193
580,詩,102,詩102,194
581,詩,103,詩103,194
582,詩,104,詩104,194
583,詩,105,詩105,195
584,詩,106,詩106,195
585,詩,107,詩107,195
586,詩,108,詩108,196
587,詩,109,詩109,196
588,詩,110,詩110,196
589,詩,111,詩111,197
590,詩,112,詩112,197
591,詩,113,詩113,197
592,詩,114,詩114,198
593,詩,115,詩115,198
594,詩,116,詩116,198
595,詩,117,詩117,199
596,詩,118,詩118,199
597,詩,119,詩119,199
598,詩,120,詩120,200
