index,book,chapter
1,創,1
2,創,2
3,創,3
4,創,4
5,創,5
6,創,6
7,創,7
8,創,8
9,創,9
10,創,10
11,創,11
12,創,12
13,創,13
14,創,14
15,創,15
16,創,16
17,創,17
18,創,18
19,創,19
20,創,20
21,創,21
22,創,22
23,創,23
24,創,24
25,創,25
26,創,26
27,創,27
28,創,28
29,創,29
30,創,30
31,創,31
32,創,32
33,創,33
34,創,34
35,創,35
36,創,36
37,創,37
38,創,38
39,創,39
40,創,40
41,創,41
42,創,42
43,創,43
44,創,44
45,創,45
46,創,46
47,創,47
48,創,48
49,創,49
50,創,50
51,出,1
52,出,2
53,出,3
54,出,4
55,出,5
56,出,6
57,出,7
58,出,8
59,出,9
60,出,10
61,出,11
62,出,12
63,出,13
64,出,14
65,出,15
66,出,16
67,出,17
68,出,18
69,出,19
70,出,20
71,出,21
72,出,22
73,出,23
74,出,24
75,出,25
76,出,26
77,出,27
78,出,28
79,出,29
80,出,30
81,出,31
82,出,32
83,出,33
84,出,34
85,出,35
86,出,36
87,出,37
88,出,38
89,出,39
90,出,40
91,利,1
92,利,2
93,利,3
94,利,4
95,利,5
96,利,6
97,利,7
98,利,8
99,利,9
100,利,10
101,利,11
102,利,12
103,利,13
104,利,14
105,利,15
106,利,16
107,利,17
108,利,18
109,利,19
110,利,20
111,利,21
112,利,22
113,利,23
114,利,24
115,利,25
116,利,26
117,利,27
118,民,1
119,民,2
120,民,3
121,民,4
122,民,5
123,民,6
124,民,7
125,民,8
126,民,9
127,民,10
128,民,11
129,民,12
130,民,13
131,民,14
132,民,15
133,民,16
134,民,17
135,民,18
136,民,19
137,民,20
138,民,21
139,民,22
140,民,23
141,民,24
142,民,25
143,民,26
144,民,27
145,民,28
146,民,29
147,民,30
148,民,31
149,民,32
150,民,33
151,民,34
152,民,35
153,民,36
154,申,1
155,申,2
156,申,3
157,申,4
158,申,5
159,申,6
160,申,7
161,申,8
162,申,9
163,申,10
164,申,11
165,申,12
166,申,13
167,申,14
168,申,15
169,申,16
170,申,17
171,申,18
172,申,19
173,申,20
174,申,21
175,申,22
176,申,23
177,申,24
178,申,25
179,申,26
180,申,27
181,申,28
182,申,29
183,申,30
184,申,31
185,申,32
186,申,33
187,申,34
188,書,1
189,書,2
190,書,3
191,書,4
192,書,5
193,書,6
194,書,7
195,書,8
196,書,9
197,書,10
198,書,11
199,書,12
200,書,13
201,書,14
202,書,15
203,書,16
204,書,17
205,書,18
206,書,19
207,書,20
208,書,21
209,書,22
210,書,23
211,書,24
212,士,1
213,士,2
214,士,3
215,士,4
216,士,5
217,士,6
218,士,7
219,士,8
220,士,9
221,士,10
222,士,11
223,士,12
224,士,13
225,士,14
226,士,15
227,士,16
228,士,17
229,士,18
230,士,19
231,士,20
232,士,21
233,得,1
234,得,2
235,得,3
236,得,4
237,撒上,1
238,撒上,2
239,撒上,3
240,撒上,4
241,撒上,5
242,撒上,6
243,撒上,7
244,撒上,8
245,撒上,9
246,撒上,10
247,撒上,11
248,撒上,12
249,撒上,13
250,撒上,14
251,撒上,15
252,撒上,16
253,撒上,17
254,撒上,18
255,撒上,19
256,撒上,20
257,撒上,21
258,撒上,22
259,撒上,23
260,撒上,24
261,撒上,25
262,撒上,26
263,撒上,27
264,撒上,28
265,撒上,29
266,撒上,30
267,撒上,31
268,撒下,1
269,撒下,2
270,撒下,3
271,撒下,4
272,撒下,5
273,撒下,6
274,撒下,7
275,撒下,8
276,撒下,9
277,撒下,10
278,撒下,11
279,撒下,12
280,撒下,13
281,撒下,14
282,撒下,15
283,撒下,16
284,撒下,17
285,撒下,18
286,撒下,19
287,撒下,20
288,撒下,21
289,撒下,22
290,撒下,23
291,撒下,24
292,王上,1
293,王上,2
294,王上,3
295,王上,4
296,王上,5
297,王上,6
298,王上,7
299,王上,8
300,王上,9
301,王上,10
302,王上,11
303,王上,12
304,王上,13
305,王上,14
306,王上,15
307,王上,16
308,王上,17
309,王上,18
310,王上,19
311,王上,20
312,王上,21
313,王上,22
314,王下,1
315,王下,2
316,王下,3
317,王下,4
318,王下,5
319,王下,6
320,王下,7
321,王下,8
322,王下,9
323,王下,10
324,王下,11
325,王下,12
326,王下,13
327,王下,14
328,王下,15
329,王下,16
330,王下,17
331,王下,18
332,王下,19
333,王下,20
334,王下,21
335,王下,22
336,王下,23
337,王下,24
338,王下,25
339,代上,1
340,代上,2
341,代上,3
342,代上,4
343,代上,5
344,代上,6
345,代上,7
346,代上,8
347,代上,9
348,代上,10
349,代上,11
350,代上,12
351,代上,13
352,代上,14
353,代上,15
354,代上,16
355,代上,17
356,代上,18
357,代上,19
358,代上,20
359,代上,21
360,代上,22
361,代上,23
362,代上,24
363,代上,25
364,代上,26
365,代上,27
366,代上,28
367,代上,29
368,代下,1
369,代下,2
370,代下,3
371,代下,4
372,代下,5
373,代下,6
374,代下,7
375,代下,8
376,代下,9
377,代下,10
378,代下,11
379,代下,12
380,代下,13
381,代下,14
382,代下,15
383,代下,16
384,代下,17
385,代下,18
386,代下,19
387,代下,20
388,代下,21
389,代下,22
390,代下,23
391,代下,24
392,代下,25
393,代下,26
394,代下,27
395,代下,28
396,代下,29
397,代下,30
398,代下,31
399,代下,32
400,代下,33
401,代下,34
402,代下,35
403,代下,36
404,拉,1
405,拉,2
406,拉,3
407,拉,4
408,拉,5
409,拉,6
410,拉,7
411,拉,8
412,拉,9
413,拉,10
414,尼,1
415,尼,2
416,尼,3
417,尼,4
418,尼,5
419,尼,6
420,尼,7
421,尼,8
422,尼,9
423,尼,10
424,尼,11
425,尼,12
426,尼,13
427,斯,1
428,斯,2
429,斯,3
430,斯,4
431,斯,5
432,斯,6
433,斯,7
434,斯,8
435,斯,9
436,斯,10
437,伯,1
438,伯,2
439,伯,3
440,伯,4
441,伯,5
442,伯,6
443,伯,7
444,伯,8
445,伯,9
446,伯,10
447,伯,11
448,伯,12
449,伯,13
450,伯,14
451,伯,15
452,伯,16
453,伯,17
454,伯,18
455,伯,19
456,伯,20
457,伯,21
458,伯,22
459,伯,23
460,伯,24
461,伯,25
462,伯,26
463,伯,27
464,伯,28
465,伯,29
466,伯,30
467,伯,31
468,伯,32
469,伯,33
470,伯,34
471,伯,35
472,伯,36
473,伯,37
474,伯,38
475,伯,39
476,伯,40
477,伯,41
478,伯,42
479,詩,1
480,詩,2
481,詩,3
482,詩,4
483,詩,5
484,詩,6
485,詩,7
486,詩,8
487,詩,9
488,詩,10
489,詩,11
490,詩,12
491,詩,13
492,詩,14
493,詩,15
494,詩,16
495,詩,17
496,詩,18
497,詩,19
498,詩,20
499,詩,21
500,詩,22
501,詩,23
502,詩,24
503,詩,25
504,詩,26
505,詩,27
506,詩,28
507,詩,29
508,詩,30
509,詩,31
510,詩,32
511,詩,33
512,詩,34
513,詩,35
514,詩,36
515,詩,37
516,詩,38
517,詩,39
518,詩,40
519,詩,41
520,詩,42
521,詩,43
522,詩,44
523,詩,45
524,詩,46
525,詩,47
526,詩,48
527,詩,49
528,詩,50
529,詩,51
530,詩,52
531,詩,53
532,詩,54
533,詩,55
534,詩,56
535,詩,57
536,詩,58
537,詩,59
538,詩,60
539,詩,61
540,詩,62
541,詩,63
542,詩,64
543,詩,65
544,詩,66
545,詩,67
546,詩,68
547,詩,69
548,詩,70
549,詩,71
550,詩,72
551,詩,73
552,詩,74
553,詩,75
554,詩,76
555,詩,77
556,詩,78
557,詩,79
558,詩,80
559,詩,81
560,詩,82
561,詩,83
562,詩,84
563,詩,85
564,詩,86
565,詩,87
566,詩,88
567,詩,89
568,詩,90
569,詩,91
570,詩,92
571,詩,93
572,詩,94
573,詩,95
574,詩,96
575,詩,97
576,詩,98
577,詩,99
578,詩,100
579,詩,101
580,詩,102
581,詩,103
582,詩,104
583,詩,105
584,詩,106
585,詩,107
586,詩,108
587,詩,109
588,詩,110
589,詩,111
590,詩,112
591,詩,113
592,詩,114
593,詩,115
594,詩,116
595,詩,117
596,詩,118
597,詩,119
598,詩,120
599,詩,121
600,詩,122
601,詩,123
602,詩,124
603,詩,125
604,詩,126
605,詩,127
606,詩,128
607,詩,129
608,詩,130
609,詩,131
610,詩,132
611,詩,133
612,詩,134
613,詩,135
614,詩,136
615,詩,137
616,詩,138
617,詩,139
618,詩,140
619,詩,141
620,詩,142
621,詩,143
622,詩,144
623,詩,145
624,詩,146
625,詩,147
626,詩,148
627,詩,149
628,詩,150
629,箴,1
630,箴,2
631,箴,3
632,箴,4
633,箴,5
634,箴,6
635,箴,7
636,箴,8
637,箴,9
638,箴,10
639,箴,11
640,箴,12
641,箴,13
642,箴,14
643,箴,15
644,箴,16
645,箴,17
646,箴,18
647,箴,19
648,箴,20
649,箴,21
650,箴,22
651,箴,23
652,箴,24
653,箴,25
654,箴,26
655,箴,27
656,箴,28
657,箴,29
658,箴,30
659,箴,31
660,傳,1
661,傳,2
662,傳,3
663,傳,4
664,傳,5
665,傳,6
666,傳,7
667,傳,8
668,傳,9
669,傳,10
670,傳,11
671,傳,12
672,歌,1
673,歌,2
674,歌,3
675,歌,4
676,歌,5
677,歌,6
678,歌,7
679,歌,8
680,賽,1
681,賽,2
682,賽,3
683,賽,4
684,賽,5
685,賽,6
686,賽,7
687,賽,8
688,賽,9
689,賽,10
690,賽,11
691,賽,12
692,賽,13
693,賽,14
694,賽,15
695,賽,16
696,賽,17
697,賽,18
698,賽,19
699,賽,20
700,賽,21
701,賽,22
702,賽,23
703,賽,24
704,賽,25
705,賽,26
706,賽,27
707,賽,28
708,賽,29
709,賽,30
710,賽,31
711,賽,32
712,賽,33
713,賽,34
714,賽,35
715,賽,36
716,賽,37
717,賽,38
718,賽,39
719,賽,40
720,賽,41
721,賽,42
722,賽,43
723,賽,44
724,賽,45
725,賽,46
726,賽,47
727,賽,48
728,賽,49
729,賽,50
730,賽,51
731,賽,52
732,賽,53
733,賽,54
734,賽,55
735,賽,56
736,賽,57
737,賽,58
738,賽,59
739,賽,60
740,賽,61
741,賽,62
742,賽,63
743,賽,64
744,賽,65
745,賽,66
746,耶,1
747,耶,2
748,耶,3
749,耶,4
750,耶,5
751,耶,6
752,耶,7
753,耶,8
754,耶,9
755,耶,10
756,耶,11
757,耶,12
758,耶,13
759,耶,14
760,耶,15
761,耶,16
762,耶,17
763,耶,18
764,耶,19
765,耶,20
766,耶,21
767,耶,22
768,耶,23
769,耶,24
770,耶,25
771,耶,26
772,耶,27
773,耶,28
774,耶,29
775,耶,30
776,耶,31
777,耶,32
778,耶,33
779,耶,34
780,耶,35
781,耶,36
782,耶,37
783,耶,38
784,耶,39
785,耶,40
786,耶,41
787,耶,42
788,耶,43
789,耶,44
790,耶,45
791,耶,46
792,耶,47
793,耶,48
794,耶,49
795,耶,50
796,耶,51
797,耶,52
798,哀,1
799,哀,2
800,哀,3
801,哀,4
802,哀,5
803,結,1
804,結,2
805,結,3
806,結,4
807,結,5
808,結,6
809,結,7
810,結,8
811,結,9
812,結,10
813,結,11
814,結,12
815,結,13
816,結,14
817,結,15
818,結,16
819,結,17
820,結,18
821,結,19
822,結,20
823,結,21
824,結,22
825,結,23
826,結,24
827,結,25
828,結,26
829,結,27
830,結,28
831,結,29
832,結,30
833,結,31
834,結,32
835,結,33
836,結,34
837,結,35
838,結,36
839,結,37
840,結,38
841,結,39
842,結,40
843,結,41
844,結,42
845,結,43
846,結,44
847,結,45
848,結,46
849,結,47
850,結,48
851,但,1
852,但,2
853,但,3
854,但,4
855,但,5
856,但,6
857,但,7
858,但,8
859,但,9
860,但,10
861,但,11
862,但,12
863,何,1
864,何,2
865,何,3
866,何,4
867,何,5
868,何,6
869,何,7
870,何,8
871,何,9
872,何,10
873,何,11
874,何,12
875,何,13
876,何,14
877,珥,1
878,珥,2
879,珥,3
880,摩,1
881,摩,2
882,摩,3
883,摩,4
884,摩,5
885,摩,6
886,摩,7
887,摩,8
888,摩,9
889,俄,1
890,拿,1
891,拿,2
892,拿,3
893,拿,4
894,彌,1
895,彌,2
896,彌,3
897,彌,4
898,彌,5
899,彌,6
900,彌,7
901,鴻,1
902,鴻,2
903,鴻,3
904,哈,1
905,哈,2
906,哈,3
907,番,1
908,番,2
909,番,3
910,該,1
911,該,2
912,亞,1
913,亞,2
914,亞,3
915,亞,4
916,亞,5
917,亞,6
918,亞,7
919,亞,8
920,亞,9
921,亞,10
922,亞,11
923,亞,12
924,亞,13
925,亞,14
926,瑪,1
927,瑪,2
928,瑪,3
929,瑪,4
930,太,1
931,太,2
932,太,3
933,太,4
934,太,5
935,太,6
936,太,7
937,太,8
938,太,9
939,太,10
940,太,11
941,太,12
942,太,13
943,太,14
944,太,15
945,太,16
946,太,17
947,太,18
948,太,19
949,太,20
950,太,21
951,太,22
952,太,23
953,太,24
954,太,25
955,太,26
956,太,27
957,太,28
958,可,1
959,可,2
960,可,3
961,可,4
962,可,5
963,可,6
964,可,7
965,可,8
966,可,9
967,可,10
968,可,11
969,可,12
970,可,13
971,可,14
972,可,15
973,可,16
974,路,1
975,路,2
976,路,3
977,路,4
978,路,5
979,路,6
980,路,7
981,路,8
982,路,9
983,路,10
984,路,11
985,路,12
986,路,13
987,路,14
988,路,15
989,路,16
990,路,17
991,路,18
992,路,19
993,路,20
994,路,21
995,路,22
996,路,23
997,路,24
998,約,1
999,約,2
1000,約,3
1001,約,4
1002,約,5
1003,約,6
1004,約,7
1005,約,8
1006,約,9
1007,約,10
1008,約,11
1009,約,12
1010,約,13
1011,約,14
1012,約,15
1013,約,16
1014,約,17
1015,約,18
1016,約,19
1017,約,20
1018,約,21
1019,徒,1
1020,徒,2
1021,徒,3
1022,徒,4
1023,徒,5
1024,徒,6
1025,徒,7
1026,徒,8
1027,徒,9
1028,徒,10
1029,徒,11
1030,徒,12
1031,徒,13
1032,徒,14
1033,徒,15
1034,徒,16
1035,徒,17
1036,徒,18
1037,徒,19
1038,徒,20
1039,徒,21
1040,徒,22
1041,徒,23
1042,徒,24
1043,徒,25
1044,徒,26
1045,徒,27
1046,徒,28
1047,羅,1
1048,羅,2
1049,羅,3
1050,羅,4
1051,羅,5
1052,羅,6
1053,羅,7
1054,羅,8
1055,羅,9
1056,羅,10
1057,羅,11
1058,羅,12
1059,羅,13
1060,羅,14
1061,羅,15
1062,羅,16
1063,林前,1
1064,林前,2
1065,林前,3
1066,林前,4
1067,林前,5
1068,林前,6
1069,林前,7
1070,林前,8
1071,林前,9
1072,林前,10
1073,林前,11
1074,林前,12
1075,林前,13
1076,林前,14
1077,林前,15
1078,林前,16
1079,林後,1
1080,林後,2
1081,林後,3
1082,林後,4
1083,林後,5
1084,林後,6
1085,林後,7
1086,林後,8
1087,林後,9
1088,林後,10
1089,林後,11
1090,林後,12
1091,林後,13
1092,加,1
1093,加,2
1094,加,3
1095,加,4
1096,加,5
1097,加,6
1098,弗,1
1099,弗,2
1100,弗,3
1101,弗,4
1102,弗,5
1103,弗,6
1104,腓,1
1105,腓,2
1106,腓,3
1107,腓,4
1108,西,1
1109,西,2
1110,西,3
1111,西,4
1112,帖前,1
1113,帖前,2
1114,帖前,3
1115,帖前,4
1116,帖前,5
1117,帖後,1
1118,帖後,2
1119,帖後,3
1120,提前,1
1121,提前,2
1122,提前,3
1123,提前,4
1124,提前,5
1125,提前,6
1126,提後,1
1127,提後,2
1128,提後,3
1129,提後,4
1130,多,1
1131,多,2
1132,多,3
1133,門,1
1134,來,1
1135,來,2
1136,來,3
1137,來,4
1138,來,5
1139,來,6
1140,來,7
1141,來,8
1142,來,9
1143,來,10
1144,來,11
1145,來,12
1146,來,13
1147,雅,1
1148,雅,2
1149,雅,3
1150,雅,4
1151,雅,5
1152,彼前,1
1153,彼前,2
1154,彼前,3
1155,彼前,4
1156,彼前,5
1157,彼後,1
1158,彼後,2
1159,彼後,3
1160,約壹,1
1161,約壹,2
1162,約壹,3
1163,約壹,4
1164,約壹,5
1165,約貳,1
1166,約叁,1
1167,猶,1
1168,啟,1
1169,啟,2
1170,啟,3
1171,啟,4
1172,啟,5
1173,啟,6
1174,啟,7
1175,啟,8
1176,啟,9
1177,啟,10
1178,啟,11
1179,啟,12
1180,啟,13
1181,啟,14
1182,啟,15
1183,啟,16
1184,啟,17
1185,啟,18
1186,啟,19
1187,啟,20
1188,啟,21
1189,啟,22